Address,Latitude,Longitude
Derartu Tulu Square,9.021582983,38.87579472
Assembles of God Church,9.019320385,38.87381886
All Mart,9.020237304,38.87505256
Tesfu Mall,9.018661378,38.87323259
We Coffee,9.017939355,38.87371839
Beirut Clothes,9.016932567,38.87306821
Dimple Bar,9.017447717,38.87196179
Lemi Kura sub-city,9.016674992,38.87214356
zuriyash mall,9.015793407,38.87158479
Afro Enterprise,9.01561261,38.8729058
Tsedik Mengist Church,9.013751604,38.87050444
CBE Birr Agent,9.014744893,38.8742076
Soto Café,9.011323503,38.87242829
Angel's café,9.008539488,38.86683004
Nardos Bakery,9.007965414,38.86674376
Dallol Gas station,9.007542,38.86703124
Weldeyesus coffee,9.006979109,38.86728342
Noc Station,9.006824687,38.86700098
Kech café,9.006609854,38.86657437
Pick Pick Supermarket,9.006356672,38.86632877
Vital Pharmacy,9.006857517,38.8659671
Ethio Telcom,9.006713252,38.86561333
Summit 72 Mosque,9.007770106,38.86871583
Tom Hair Salon,9.006159547,38.86609099
Ethio Gorgeous Furniture,9.006221896,38.86413494
